Name;Station;Time(norwegian mean time);Precipitation (24 h)
Bjørnøya;SN99710;16.06.1980;0
Bjørnøya;SN99710;17.06.1980;0.1
Bjørnøya;SN99710;18.06.1980;0
Bjørnøya;SN99710;19.06.1980;0
Bjørnøya;SN99710;20.06.1980;1.9
Bjørnøya;SN99710;21.06.1980;0.4
Bjørnøya;SN99710;22.06.1980;0
Bjørnøya;SN99710;23.06.1980;0
Bjørnøya;SN99710;24.06.1980;1.6
Bjørnøya;SN99710;25.06.1980;0
Bjørnøya;SN99710;26.06.1980;0
Bjørnøya;SN99710;27.06.1980;0
Bjørnøya;SN99710;28.06.1980;0
Bjørnøya;SN99710;29.06.1980;0
Bjørnøya;SN99710;30.06.1980;0
Bjørnøya;SN99710;01.07.1980;0
Bjørnøya;SN99710;02.07.1980;0
Bjørnøya;SN99710;03.07.1980;0
Bjørnøya;SN99710;04.07.1980;0
Bjørnøya;SN99710;05.07.1980;0
Bjørnøya;SN99710;06.07.1980;0.4
Bjørnøya;SN99710;07.07.1980;0.1
Bjørnøya;SN99710;08.07.1980;0
Bjørnøya;SN99710;09.07.1980;0
Bjørnøya;SN99710;10.07.1980;0.7
Bjørnøya;SN99710;11.07.1980;0.2
Bjørnøya;SN99710;12.07.1980;0.2
Bjørnøya;SN99710;13.07.1980;0
Bjørnøya;SN99710;14.07.1980;0.2
Bjørnøya;SN99710;15.07.1980;0.1
Bjørnøya;SN99710;16.07.1980;0.1
Bjørnøya;SN99710;17.07.1980;0.1
Bjørnøya;SN99710;18.07.1980;0.1
Bjørnøya;SN99710;19.07.1980;0
Bjørnøya;SN99710;20.07.1980;0
Bjørnøya;SN99710;21.07.1980;0
Bjørnøya;SN99710;22.07.1980;0
Bjørnøya;SN99710;23.07.1980;0
Bjørnøya;SN99710;24.07.1980;0.3
Bjørnøya;SN99710;25.07.1980;1.7
Bjørnøya;SN99710;26.07.1980;4
Bjørnøya;SN99710;27.07.1980;0.3
Bjørnøya;SN99710;28.07.1980;0.9
Bjørnøya;SN99710;29.07.1980;0.3
Bjørnøya;SN99710;30.07.1980;0.1
Bjørnøya;SN99710;31.07.1980;0
Bjørnøya;SN99710;01.08.1980;0.2
Bjørnøya;SN99710;02.08.1980;0.1
Bjørnøya;SN99710;03.08.1980;0.1
Bjørnøya;SN99710;04.08.1980;4.1
Bjørnøya;SN99710;05.08.1980;0.1
Bjørnøya;SN99710;06.08.1980;0
Bjørnøya;SN99710;07.08.1980;0.2
Bjørnøya;SN99710;08.08.1980;0.8
Bjørnøya;SN99710;09.08.1980;0
Bjørnøya;SN99710;10.08.1980;0.3
Bjørnøya;SN99710;11.08.1980;0
Bjørnøya;SN99710;12.08.1980;0
Bjørnøya;SN99710;13.08.1980;0
Bjørnøya;SN99710;14.08.1980;0
Bjørnøya;SN99710;15.08.1980;0
Bjørnøya;SN99710;16.08.1980;0
Bjørnøya;SN99710;17.08.1980;0.2
Bjørnøya;SN99710;18.08.1980;0
Bjørnøya;SN99710;19.08.1980;4.1
Bjørnøya;SN99710;20.08.1980;0.8
Bjørnøya;SN99710;21.08.1980;0.3
Bjørnøya;SN99710;22.08.1980;0.4
Bjørnøya;SN99710;23.08.1980;0.1
Bjørnøya;SN99710;24.08.1980;0
Bjørnøya;SN99710;25.08.1980;0
Bjørnøya;SN99710;26.08.1980;0.3
Bjørnøya;SN99710;27.08.1980;0
Bjørnøya;SN99710;28.08.1980;0.4
Bjørnøya;SN99710;29.08.1980;0.1
Bjørnøya;SN99710;30.08.1980;0.5
Bjørnøya;SN99710;31.08.1980;2.1
Bjørnøya;SN99710;01.09.1980;1.8
Bjørnøya;SN99710;02.09.1980;0.3
Bjørnøya;SN99710;03.09.1980;0
Bjørnøya;SN99710;04.09.1980;0.2
Bjørnøya;SN99710;05.09.1980;0.2
Bjørnøya;SN99710;06.09.1980;0.5
Bjørnøya;SN99710;07.09.1980;0
Bjørnøya;SN99710;08.09.1980;2.7
Bjørnøya;SN99710;09.09.1980;2.7
Bjørnøya;SN99710;10.09.1980;2.8
Bjørnøya;SN99710;11.09.1980;2.8
Bjørnøya;SN99710;12.09.1980;1.9
Bjørnøya;SN99710;13.09.1980;0
Bjørnøya;SN99710;14.09.1980;0
Bjørnøya;SN99710;15.09.1980;14.9
Bjørnøya;SN99710;16.09.1980;2.9
Bjørnøya;SN99710;17.09.1980;2
Bjørnøya;SN99710;18.09.1980;0
Bjørnøya;SN99710;19.09.1980;1.5
Bjørnøya;SN99710;20.09.1980;0.3
Bjørnøya;SN99710;21.09.1980;0.1
Bjørnøya;SN99710;22.09.1980;0.2
Bjørnøya;SN99710;23.09.1980;1.7
Bjørnøya;SN99710;24.09.1980;0
Bjørnøya;SN99710;25.09.1980;0.1
Bjørnøya;SN99710;26.09.1980;0.1
Bjørnøya;SN99710;27.09.1980;0
Bjørnøya;SN99710;28.09.1980;0
Bjørnøya;SN99710;29.09.1980;2.1
Bjørnøya;SN99710;30.09.1980;6
Bjørnøya;SN99710;01.10.1980;3.2
Bjørnøya;SN99710;02.10.1980;0.3
Bjørnøya;SN99710;03.10.1980;0.1
Bjørnøya;SN99710;04.10.1980;0.4
Bjørnøya;SN99710;05.10.1980;3.2
Bjørnøya;SN99710;06.10.1980;4.8
Bjørnøya;SN99710;07.10.1980;5
Bjørnøya;SN99710;08.10.1980;0.8
Bjørnøya;SN99710;09.10.1980;1.7
Bjørnøya;SN99710;10.10.1980;2.8
Bjørnøya;SN99710;11.10.1980;0.2
Bjørnøya;SN99710;12.10.1980;0
Bjørnøya;SN99710;13.10.1980;0
Bjørnøya;SN99710;14.10.1980;1.2
Bjørnøya;SN99710;15.10.1980;3.3
