timedelta,dst
0 days 00:00:00,-7
0 days 01:00:00,-10
0 days 02:00:00,-10
0 days 03:00:00,-6
0 days 04:00:00,-2
0 days 05:00:00,3
0 days 06:00:00,5
0 days 07:00:00,5
0 days 08:00:00,3
0 days 09:00:00,1
0 days 10:00:00,1
0 days 11:00:00,2
0 days 12:00:00,2
0 days 13:00:00,3
0 days 14:00:00,3
0 days 15:00:00,4
0 days 16:00:00,6
0 days 17:00:00,5
0 days 18:00:00,5
0 days 19:00:00,3
0 days 20:00:00,1
0 days 21:00:00,1
0 days 22:00:00,-2
0 days 23:00:00,-3
1 days 00:00:00,-7
1 days 01:00:00,-7
1 days 02:00:00,-5
1 days 03:00:00,0
1 days 04:00:00,3
1 days 05:00:00,3
1 days 06:00:00,4
1 days 07:00:00,9
1 days 08:00:00,8
1 days 09:00:00,5
1 days 10:00:00,12
1 days 11:00:00,14
1 days 12:00:00,13
1 days 13:00:00,5
1 days 14:00:00,-5
1 days 15:00:00,-10
1 days 16:00:00,-20
1 days 17:00:00,-32
1 days 18:00:00,-47
1 days 19:00:00,-54
1 days 20:00:00,-66
1 days 21:00:00,-77
1 days 22:00:00,-92
1 days 23:00:00,-95
2 days 00:00:00,-100
2 days 01:00:00,-98
2 days 02:00:00,-89
2 days 03:00:00,-90
2 days 04:00:00,-79
2 days 05:00:00,-73
2 days 06:00:00,-69
2 days 07:00:00,-68
2 days 08:00:00,-63
2 days 09:00:00,-59
2 days 10:00:00,-53
2 days 11:00:00,-44
2 days 12:00:00,-38
2 days 13:00:00,-40
2 days 14:00:00,-45
2 days 15:00:00,-40
2 days 16:00:00,-31
2 days 17:00:00,-39
2 days 18:00:00,-47
2 days 19:00:00,-51
2 days 20:00:00,-46
2 days 21:00:00,-35
2 days 22:00:00,-39
2 days 23:00:00,-42
3 days 00:00:00,-43
3 days 01:00:00,-42
3 days 02:00:00,-38
3 days 03:00:00,-32
3 days 04:00:00,-30
3 days 05:00:00,-28
3 days 06:00:00,-26
3 days 07:00:00,-27
3 days 08:00:00,-30
3 days 09:00:00,-32
3 days 10:00:00,-32
3 days 11:00:00,-34
3 days 12:00:00,-34
3 days 13:00:00,-34
3 days 14:00:00,-32
3 days 15:00:00,-28
3 days 16:00:00,-27
3 days 17:00:00,-30
3 days 18:00:00,-34
3 days 19:00:00,-37
3 days 20:00:00,-40
3 days 21:00:00,-43
3 days 22:00:00,-45
3 days 23:00:00,-48
4 days 00:00:00,-50
4 days 01:00:00,-49
4 days 02:00:00,-44
4 days 03:00:00,-33
4 days 04:00:00,-31
4 days 05:00:00,-29
4 days 06:00:00,-29
4 days 07:00:00,-29
4 days 08:00:00,-23
4 days 09:00:00,-20
4 days 10:00:00,-22
4 days 11:00:00,-20
4 days 12:00:00,-20
4 days 13:00:00,-21
4 days 14:00:00,-21
4 days 15:00:00,-21
4 days 16:00:00,-18
4 days 17:00:00,-21
4 days 18:00:00,-19
4 days 19:00:00,-21
4 days 20:00:00,-22
4 days 21:00:00,-20
4 days 22:00:00,-19
4 days 23:00:00,-21
5 days 00:00:00,-16
5 days 01:00:00,-16
5 days 02:00:00,-19
5 days 03:00:00,-19
5 days 04:00:00,-15
5 days 05:00:00,-12
5 days 06:00:00,-13
5 days 07:00:00,-13
5 days 08:00:00,-10
5 days 09:00:00,-10
5 days 10:00:00,-5
5 days 11:00:00,-2
5 days 12:00:00,-3
5 days 13:00:00,-6
5 days 14:00:00,-7
5 days 15:00:00,-7
5 days 16:00:00,-7
5 days 17:00:00,-7
5 days 18:00:00,-6
5 days 19:00:00,-7
5 days 20:00:00,-9
5 days 21:00:00,-7
5 days 22:00:00,-7
5 days 23:00:00,-7
6 days 00:00:00,-6
6 days 01:00:00,-7
6 days 02:00:00,-11
6 days 03:00:00,-7
6 days 04:00:00,-5
6 days 05:00:00,-2
6 days 06:00:00,-3
6 days 07:00:00,0
6 days 08:00:00,1
6 days 09:00:00,-4
6 days 10:00:00,-5
6 days 11:00:00,-7
6 days 12:00:00,-4
6 days 13:00:00,-4
6 days 14:00:00,-7
6 days 15:00:00,-10
6 days 16:00:00,-11
6 days 17:00:00,-12
6 days 18:00:00,-16
6 days 19:00:00,-13
6 days 20:00:00,-9
6 days 21:00:00,-6
6 days 22:00:00,-2
6 days 23:00:00,0
7 days 00:00:00,0
7 days 01:00:00,0
7 days 02:00:00,-4
7 days 03:00:00,-6
7 days 04:00:00,-8
7 days 05:00:00,-11
7 days 06:00:00,-17
7 days 07:00:00,-18
7 days 08:00:00,-14
7 days 09:00:00,-12
7 days 10:00:00,-11
7 days 11:00:00,-6
7 days 12:00:00,-6
7 days 13:00:00,-6
7 days 14:00:00,-5
7 days 15:00:00,-8
7 days 16:00:00,-4
7 days 17:00:00,-5
7 days 18:00:00,-12
7 days 19:00:00,-21
7 days 20:00:00,-27
7 days 21:00:00,-27
7 days 22:00:00,-18
7 days 23:00:00,-9
8 days 00:00:00,-8
8 days 01:00:00,-9
8 days 02:00:00,-12
8 days 03:00:00,-10
8 days 04:00:00,-10
8 days 05:00:00,-9
8 days 06:00:00,-9
8 days 07:00:00,-8
8 days 08:00:00,-11
8 days 09:00:00,-12
8 days 10:00:00,-13
8 days 11:00:00,-12
8 days 12:00:00,-10
8 days 13:00:00,-9
8 days 14:00:00,-7
8 days 15:00:00,-8
8 days 16:00:00,-10
8 days 17:00:00,-11
8 days 18:00:00,-11
8 days 19:00:00,-10
8 days 20:00:00,-9
8 days 21:00:00,-7
8 days 22:00:00,-3
8 days 23:00:00,1
9 days 00:00:00,3
9 days 01:00:00,3
9 days 02:00:00,3
9 days 03:00:00,1
9 days 04:00:00,-1
9 days 05:00:00,-1
9 days 06:00:00,-5
9 days 07:00:00,-9
9 days 08:00:00,-11
9 days 09:00:00,-12
9 days 10:00:00,-10
9 days 11:00:00,-6
9 days 12:00:00,-1
9 days 13:00:00,-2
9 days 14:00:00,-4
9 days 15:00:00,-6
9 days 16:00:00,-6
9 days 17:00:00,-8
9 days 18:00:00,-11
9 days 19:00:00,-9
9 days 20:00:00,-6
9 days 21:00:00,-3
9 days 22:00:00,-4
9 days 23:00:00,-2
10 days 00:00:00,1
10 days 01:00:00,4
10 days 02:00:00,1
10 days 03:00:00,0
10 days 04:00:00,1
10 days 05:00:00,-1
10 days 06:00:00,-1
10 days 07:00:00,1
10 days 08:00:00,3
10 days 09:00:00,6
10 days 10:00:00,6
10 days 11:00:00,8
10 days 12:00:00,9
10 days 13:00:00,7
10 days 14:00:00,3
10 days 15:00:00,3
10 days 16:00:00,4
10 days 17:00:00,3
10 days 18:00:00,1
10 days 19:00:00,-1
10 days 20:00:00,-1
10 days 21:00:00,1
10 days 22:00:00,0
10 days 23:00:00,4
11 days 00:00:00,8
11 days 01:00:00,10
11 days 02:00:00,11
11 days 03:00:00,12
11 days 04:00:00,11
11 days 05:00:00,9
11 days 06:00:00,8
11 days 07:00:00,6
11 days 08:00:00,1
11 days 09:00:00,1
11 days 10:00:00,5
11 days 11:00:00,6
11 days 12:00:00,5
11 days 13:00:00,2
11 days 14:00:00,-3
11 days 15:00:00,-2
11 days 16:00:00,-1
11 days 17:00:00,-5
11 days 18:00:00,-11
11 days 19:00:00,-11
11 days 20:00:00,-8
11 days 21:00:00,-6
11 days 22:00:00,-8
11 days 23:00:00,-8
12 days 00:00:00,-9
12 days 01:00:00,-8
12 days 02:00:00,-6
12 days 03:00:00,-3
12 days 04:00:00,-5
12 days 05:00:00,-7
12 days 06:00:00,-8
12 days 07:00:00,-8
12 days 08:00:00,-7
12 days 09:00:00,3
12 days 10:00:00,6
12 days 11:00:00,0
12 days 12:00:00,-16
12 days 13:00:00,-12
12 days 14:00:00,-18
12 days 15:00:00,-18
12 days 16:00:00,-13
12 days 17:00:00,-15
12 days 18:00:00,-15
12 days 19:00:00,-18
12 days 20:00:00,-19
12 days 21:00:00,-14
12 days 22:00:00,-9
12 days 23:00:00,-6
13 days 00:00:00,-16
13 days 01:00:00,-20
13 days 02:00:00,-26
13 days 03:00:00,-27
13 days 04:00:00,-21
13 days 05:00:00,-15
13 days 06:00:00,-11
13 days 07:00:00,-12
13 days 08:00:00,-12
13 days 09:00:00,-9
13 days 10:00:00,-11
13 days 11:00:00,-9
13 days 12:00:00,-6
13 days 13:00:00,-10
13 days 14:00:00,-5
13 days 15:00:00,-9
13 days 16:00:00,-16
13 days 17:00:00,-18
13 days 18:00:00,-23
13 days 19:00:00,-28
13 days 20:00:00,-27
13 days 21:00:00,-26
13 days 22:00:00,-29
13 days 23:00:00,-25
14 days 00:00:00,-23
14 days 01:00:00,-23
14 days 02:00:00,-19
14 days 03:00:00,-13
14 days 04:00:00,-14
14 days 05:00:00,-16
14 days 06:00:00,-23
14 days 07:00:00,-28
14 days 08:00:00,-28
14 days 09:00:00,-16
14 days 10:00:00,-19
14 days 11:00:00,-19
14 days 12:00:00,-15
14 days 13:00:00,-16
14 days 14:00:00,-23
14 days 15:00:00,-25
14 days 16:00:00,-25
14 days 17:00:00,-30
14 days 18:00:00,-36
14 days 19:00:00,-36
14 days 20:00:00,-35
14 days 21:00:00,-31
14 days 22:00:00,-30
14 days 23:00:00,-25
15 days 00:00:00,-25
