0,SST1,SSTA1,SST2,SSTA2,SST3,SSTA3,SST4,SSTA4
03JAN1990,23.4,-0.4,25.1,-0.3,26.6,-0.0,28.6,0.2
10JAN1990,23.4,-0.8,25.2,-0.4,26.6,0.0,28.6,0.2
17JAN1990,24.2,-0.3,25.3,-0.3,26.5,-0.1,28.6,0.3
24JAN1990,24.4,-0.5,25.5,-0.4,26.5,-0.1,28.4,0.1
31JAN1990,25.1,-0.2,25.8,-0.2,26.7,0.1,28.4,0.1
07FEB1990,25.8,0.1,26.1,-0.1,26.8,0.1,28.4,0.2
14FEB1990,25.9,-0.2,26.4,0.0,26.9,0.2,28.5,0.3
21FEB1990,26.1,-0.2,26.7,0.2,27.1,0.2,28.9,0.7
28FEB1990,26.1,-0.2,26.7,-0.1,27.2,0.2,29.0,0.7
07MAR1990,26.7,0.2,26.7,-0.3,27.3,0.2,28.9,0.6
14MAR1990,26.1,-0.5,26.9,-0.3,27.3,0.1,28.6,0.3
21MAR1990,26.1,-0.3,27.2,-0.0,27.6,0.2,28.7,0.3
28MAR1990,25.7,-0.5,27.5,0.1,27.8,0.2,28.8,0.3
04APR1990,25.6,-0.4,27.6,0.2,27.9,0.3,28.8,0.3
11APR1990,25.1,-0.6,27.6,0.1,27.9,0.1,28.8,0.2
18APR1990,25.3,-0.1,27.7,0.1,28.0,0.1,28.9,0.2
25APR1990,25.1,-0.1,27.7,0.3,28.2,0.3,29.2,0.4
02MAY1990,24.6,-0.3,27.6,0.2,28.1,0.2,29.0,0.2
09MAY1990,24.2,-0.4,27.5,0.3,28.1,0.2,28.9,0.0
16MAY1990,24.3,-0.1,27.4,0.2,28.0,0.1,28.8,-0.1
23MAY1990,23.7,-0.3,27.2,0.1,28.1,0.2,29.0,0.1
30MAY1990,23.4,-0.3,27.1,0.2,27.9,0.0,28.9,-0.0
06JUN1990,23.2,-0.2,26.7,-0.0,27.7,-0.1,28.9,-0.1
13JUN1990,22.8,-0.3,26.6,-0.0,27.7,-0.1,29.0,-0.0
20JUN1990,22.5,-0.2,26.4,-0.1,27.5,-0.2,29.0,-0.0
27JUN1990,22.1,-0.4,26.0,-0.3,27.3,-0.3,28.9,-0.1
04JUL1990,21.7,-0.5,25.8,-0.3,27.3,-0.2,28.9,-0.0
11JUL1990,21.3,-0.6,25.4,-0.5,27.2,-0.2,28.8,-0.2
18JUL1990,21.0,-0.6,25.7,-0.0,27.4,0.1,29.1,0.1
25JUL1990,20.2,-1.1,25.1,-0.5,27.3,0.1,29.1,0.2
01AUG1990,20.6,-0.6,25.1,-0.3,27.1,0.0,29.0,0.1
08AUG1990,20.4,-0.5,25.2,-0.0,27.2,0.2,29.3,0.4
15AUG1990,20.4,-0.3,25.1,0.1,27.0,0.2,29.2,0.4
22AUG1990,19.8,-0.8,24.9,-0.1,27.0,0.1,29.2,0.4
29AUG1990,20.2,-0.3,25.0,0.1,26.9,0.1,29.0,0.3
05SEP1990,19.7,-0.8,24.9,-0.0,26.7,-0.0,28.9,0.2
12SEP1990,20.1,-0.3,24.7,-0.2,26.7,-0.1,29.1,0.3
19SEP1990,20.3,-0.1,24.9,0.1,26.8,0.0,29.1,0.3
26SEP1990,20.3,-0.2,24.8,-0.1,26.7,0.0,29.0,0.2
03OCT1990,20.8,0.2,25.1,0.2,26.9,0.2,29.2,0.4
10OCT1990,20.1,-0.6,24.9,-0.0,27.0,0.3,29.1,0.4
17OCT1990,20.3,-0.5,24.9,-0.1,27.0,0.2,29.3,0.5
24OCT1990,20.1,-0.8,24.9,-0.1,27.0,0.3,29.3,0.5
31OCT1990,20.2,-1.0,24.7,-0.3,26.9,0.2,29.2,0.5
