Date(UTC),Latitude,Longitude,Depth,Magnitude
18-01-2000 00:00,37.79,28.21,10,4.4
19-01-2000 00:00,39.54,26.14,10,5.2
20-01-2000 00:00,37.63,37.37,10,4.8
21-01-2000 00:00,37.83,27.71,10,4.4
22-01-2000 00:00,38.12,31.29,10,5.7
23-01-2000 00:00,40.5,26.6,10,4.3
24-01-2000 00:00,37.88,27.75,10,4
25-01-2000 00:00,39.46,44,10,4.8
26-01-2000 00:00,38.45,44.87,10,5.2
27-01-2000 00:00,38.5,44.97,10,5.1
28-01-2000 00:00,39.85,27.36,10,4.7
29-01-2000 00:00,42.2,45.1,35,4.6
30-01-2000 00:00,37.85,29.5,10,4.4
31-01-2000 00:00,39.8,30.3,10,4.7
01-02-2000 00:00,38.3,27.65,10,4.1
02-02-2000 00:00,37.86,28.66,10,4.1
03-02-2000 00:00,36.44,43.35,10,4.6
04-02-2000 00:00,38.44,34.67,10,4.3
05-02-2000 00:00,37.9,28.74,10,4
06-02-2000 00:00,40.43,29.26,10,4.8
07-02-2000 00:00,40.5,26.3,10,4.2
08-02-2000 00:00,40.28,43.06,10,5.9
09-02-2000 00:00,39.34,26.65,10,4.5
10-02-2000 00:00,38.64,38.24,10,4.1
11-02-2000 00:00,40.44,30.1,10,4.7
12-02-2000 00:00,39.85,27.36,10,4.4
13-02-2000 00:00,40.3,36.4,10,4.9
14-02-2000 00:00,40.44,30.1,10,4.2
15-02-2000 00:00,39.59,30.24,10,4
16-02-2000 00:00,40.65,39.15,10,4.5
17-02-2000 00:00,37.75,28.35,10,4.2
18-02-2000 00:00,40.63,30.56,10,4
19-02-2000 00:00,40.82,42.12,10,5.1
20-02-2000 00:00,41.07,37.6,10,4.4
21-02-2000 00:00,40.27,38,10,4.4
22-02-2000 00:00,37.47,44.74,10,5.2
23-02-2000 00:00,38.8,29.4,10,5.6
24-02-2000 00:00,38.8,29.4,10,4.8
25-02-2000 00:00,38.05,27.55,10,4.8
26-02-2000 00:00,38.08,38.72,10,5.4
27-02-2000 00:00,38.1,36.65,10,4.7
28-02-2000 00:00,40.44,28.98,10,4.2
29-02-2000 00:00,37.95,27.41,10,4.2
01-03-2000 00:00,38.02,37.13,10,5.5
02-03-2000 00:00,37.86,27.69,10,4
03-03-2000 00:00,38.02,37.13,10,4.4
04-03-2000 00:00,39.85,44.3,10,4.8
05-03-2000 00:00,40.61,30.32,10,4.9
06-03-2000 00:00,37.81,28.85,10,4.4
07-03-2000 00:00,39.8,30.5,15,5
08-03-2000 00:00,40.31,37.21,10,5.1
09-03-2000 00:00,38.4,26.65,10,5
10-03-2000 00:00,39.84,28.14,10,4.1
11-03-2000 00:00,40.45,37.8,10,4.6
12-03-2000 00:00,38.55,30,10,5
13-03-2000 00:00,38.54,30.02,10,5.4
14-03-2000 00:00,40.03,41.53,10,6.1
15-03-2000 00:00,40,41.5,10,5.5
16-03-2000 00:00,38.55,30,10,4.4
17-03-2000 00:00,38.37,42.6,10,4.4
18-03-2000 00:00,39.4,26.7,10,5.9
19-03-2000 00:00,38.41,27.51,10,4.7
20-03-2000 00:00,40.63,36.79,10,4.4
21-03-2000 00:00,40.51,38.09,10,5
22-03-2000 00:00,40.67,33.57,10,5.5
23-03-2000 00:00,38.93,29.38,10,4.4
24-03-2000 00:00,40.3,38.8,10,5.2
25-03-2000 00:00,37.79,31.07,10,5.7
26-03-2000 00:00,38.37,27.68,10,4
27-03-2000 00:00,37.1,38.13,10,4.4
28-03-2000 00:00,40.42,37.77,10,4
29-03-2000 00:00,37.71,27.83,10,4.8
30-03-2000 00:00,41.2,35.2,10,5
31-03-2000 00:00,38.8,29.3,10,4
01-04-2000 00:00,40.3,28.75,10,4
02-04-2000 00:00,40.7,27.8,10,5.3
03-04-2000 00:00,40.7,27.8,10,5.4
04-04-2000 00:00,40.7,27.8,10,5.5
05-04-2000 00:00,38,30.63,10,5.5
06-04-2000 00:00,41.1,32.5,10,5.1
07-04-2000 00:00,38.28,27.2,10,5.5
08-04-2000 00:00,41.1,32.5,10,4.2
09-04-2000 00:00,40,41.1,10,4.8
10-04-2000 00:00,38,39,10,5.2
